vt_PGAout X,vt_PGAout Y,vt_muxOut X,vt_muxOut Y,t_ADC_INN X,t_ADC_INN Y,t_ext_in1 X,t_ext_in1 Y,/EXT_IN<1> X,/EXT_IN<1> Y
1.21450106128e-08,0.6336304246984902,1.21450106128e-08,0.07139300629888837,1.21450106128e-08,1.002187568691837,1.21450106128e-08,0,1.21450106128e-08,0
1.22423704177e-08,0.6350301400747148,1.22423704177e-08,0.06940952575934532,1.22423704177e-08,1.002428050157397,1.22423704177e-08,0,1.22423704177e-08,0
1.24370900276e-08,0.6375374628571746,1.24370900276e-08,0.06564785846221981,1.24370900276e-08,1.003568078755408,1.24370900276e-08,0,1.24370900276e-08,0
1.28265292474e-08,0.6412487474811408,1.28265292474e-08,0.0587142925769607,1.28265292474e-08,1.004515575665178,1.28265292474e-08,0,1.28265292474e-08,0
1.34224499611e-08,0.6439173190092806,1.34224499611e-08,0.04960039400205361,1.34224499611e-08,1.004656367503759,1.34224499611e-08,0,1.34224499611e-08,0
1.46142913884e-08,0.6393548638960219,1.46142913884e-08,0.0356407626915631,1.46142913884e-08,1.004147305100369,1.46142913884e-08,0,1.46142913884e-08,0
1.51373582409e-08,0.6336551211152591,1.51373582409e-08,0.03081519407508352,1.51373582409e-08,1.004066217040777,1.51373582409e-08,0,1.51373582409e-08,0
1.61834919459e-08,0.6162574602092264,1.61834919459e-08,0.02311386147516952,1.61834919459e-08,1.003990827815928,1.61834919459e-08,0,1.61834919459e-08,0
1.67065587984e-08,0.6048147607846006,1.67065587984e-08,0.02000190449833645,1.67065587984e-08,1.003967443276407,1.67065587984e-08,0,1.67065587984e-08,0
1.77526925034e-08,0.5769255953402292,1.77526925034e-08,0.01486768223868472,1.77526925034e-08,1.003945108052967,1.77526925034e-08,0,1.77526925034e-08,0
1.88763462517e-08,0.5407543030654157,1.88763462517e-08,0.01052618468082497,1.88763462517e-08,1.003939233699324,1.88763462517e-08,0,1.88763462517e-08,0
2e-08,0.499136427415699,2e-08,0.006996284176198935,2e-08,1.00394520368592,2e-08,0,2e-08,0
2.22473074965e-08,0.3977016390554182,2.22473074965e-08,-0.001162007712481803,2.22473074965e-08,1.003975993514836,2.22473074965e-08,0,2.22473074965e-08,0
2.33709612448e-08,0.3474695458506299,2.33709612448e-08,-0.007770642951460376,2.33709612448e-08,1.003990714665139,2.33709612448e-08,0,2.33709612448e-08,0
2.56182687413e-08,0.2436472299568666,2.56182687413e-08,-0.03010799477295854,2.56182687413e-08,1.00403109681017,2.56182687413e-08,0,2.56182687413e-08,0
3.01128837345e-08,0.08537328495911124,3.01128837345e-08,-0.04584190546119221,3.01128837345e-08,1.00412413260889,3.01128837345e-08,0,3.01128837345e-08,0
3.1654905929e-08,0.06237457414092305,3.1654905929e-08,-0.03773537609160515,3.1654905929e-08,1.004154878999563,3.1654905929e-08,0,3.1654905929e-08,0
3.47389503181e-08,0.03908134294699543,3.47389503181e-08,-0.01841753565299902,3.47389503181e-08,1.004210698996436,3.47389503181e-08,0,3.47389503181e-08,0
4.09070390963e-08,0.02039440204769307,4.09070390963e-08,-0.00145338529067641,4.09070390963e-08,1.004316252476423,4.09070390963e-08,0,4.09070390963e-08,0
5e-08,0.01323416003105151,5e-08,-0.001051054325229406,5e-08,1.004444267607269,5e-08,0,5e-08,0
5.999999999999999e-08,0.01001459336961169,5.999999999999999e-08,-0.000571213963575079,5.999999999999999e-08,1.004536479474682,5.999999999999999e-08,0,5.999999999999999e-08,0
7.99999999999e-08,0.006807579446723022,7.99999999999e-08,-0.0002565330569003682,7.99999999999e-08,1.004651422270774,7.99999999999e-08,0,7.99999999999e-08,0
1.1e-07,0.004027059740093568,1.1e-07,-3.067536283756795e-05,1.1e-07,1.004770094252564,1.1e-07,0,1.1e-07,0
1.2e-07,0.003590499882486254,1.2e-07,-5.104999149777379e-05,1.2e-07,1.004786838243914,1.2e-07,0,1.2e-07,0
1.349999999999e-07,0.003068696653879338,1.349999999999e-07,-4.634393457634251e-05,1.349999999999e-07,1.004804247881337,1.349999999999e-07,0,1.349999999999e-07,0
1.5e-07,0.002638041212265026,1.5e-07,-3.362123009958207e-05,1.5e-07,1.004818523341278,1.5e-07,0,1.5e-07,0
1.6e-07,0.002418918616954204,1.6e-07,-2.970007367499854e-05,1.6e-07,1.004824259188483,1.6e-07,0,1.6e-07,0
1.8e-07,0.002081956004121502,1.8e-07,-2.292926114716507e-05,1.8e-07,1.004831484677455,1.8e-07,0,1.8e-07,0
2.1e-07,0.001692182235894535,2.1e-07,-1.283093988431768e-05,2.1e-07,1.004839011636205,2.1e-07,0,2.1e-07,0
2.2e-07,0.0015978537806574,2.2e-07,-1.235191262181176e-05,2.2e-07,1.004840091931415,2.2e-07,0,2.2e-07,0
2.35e-07,0.001475798377952762,2.35e-07,-1.082203173261426e-05,2.35e-07,1.004841211905057,2.35e-07,0,2.35e-07,0
2.5e-07,0.00136690951198184,2.5e-07,-8.744163286457582e-06,2.5e-07,1.004842127802399,2.5e-07,0,2.5e-07,0
2.6e-07,0.001305343797998105,2.6e-07,-8.111384887878177e-06,2.6e-07,1.004842491443515,2.6e-07,0,2.6e-07,0
2.8e-07,0.001201497474729145,2.8e-07,-6.849125476619543e-06,2.8e-07,1.004842942455499,2.8e-07,0,2.8e-07,0
3.1e-07,0.001069978932724444,3.1e-07,-4.768654719475664e-06,3.1e-07,1.004843405863902,3.1e-07,0,3.1e-07,0
3.2e-07,0.00103456204198928,3.2e-07,-4.558414010393475e-06,3.2e-07,1.004843468023821,3.2e-07,0,3.2e-07,0
3.349999999999e-07,0.0009870737602064334,3.349999999999e-07,-4.095066738778983e-06,3.349999999999e-07,1.004843529644825,3.349999999999e-07,0,3.349999999999e-07,0
3.5e-07,0.0009432225171021483,3.5e-07,-3.508033742151159e-06,3.5e-07,1.004843578751977,3.5e-07,0,3.5e-07,0
3.6e-07,0.0009174207324301042,3.6e-07,-3.295505448819991e-06,3.6e-07,1.004843596123775,3.6e-07,0,3.6e-07,0
3.8e-07,0.0008722488631749174,3.8e-07,-2.871147992364599e-06,3.8e-07,1.004843614435233,3.8e-07,0,3.8e-07,0
4.1e-07,0.000812573677819716,4.1e-07,-2.171498273913824e-06,4.1e-07,1.004843630132096,4.1e-07,0,4.1e-07,0
4.2e-07,0.0007957974219860525,4.2e-07,-2.067782464405887e-06,4.2e-07,1.004843630194105,4.2e-07,0,4.2e-07,0
4.349999999999e-07,0.0007728752636745987,4.349999999999e-07,-1.87435963799931e-06,4.349999999999e-07,1.004843628877271,4.349999999999e-07,0,4.349999999999e-07,0
4.5e-07,0.0007513241991052732,4.5e-07,-1.643606494594914e-06,4.5e-07,1.004843627141806,4.5e-07,0,4.5e-07,0
4.6e-07,0.0007384029165306899,4.6e-07,-1.54464215256324e-06,4.6e-07,1.004843625422392,4.6e-07,0,4.6e-07,0
4.8e-07,0.000715361102425057,4.8e-07,-1.348831057578912e-06,4.8e-07,1.004843621772827,4.8e-07,0,4.8e-07,0
5.1e-07,0.0006842077759027681,5.1e-07,-1.032090399840271e-06,5.1e-07,1.004843616577452,5.1e-07,0,5.1e-07,0
5.1125e-07,0.0006830395909126446,5.1125e-07,-1.025292017902606e-06,5.1125e-07,1.004843616366141,5.1125e-07,0,5.1125e-07,0
5.12110211343e-07,0.0006822367064256088,5.12110211343e-07,-1.020843806979729e-06,5.12110211343e-07,1.004843616222757,5.12110211343e-07,0,5.12110211343e-07,0
5.138306340290999e-07,0.0006806420550075951,5.138306340290999e-07,-1.010810201888962e-06,5.138306340290999e-07,1.004843615936359,5.138306340290999e-07,0,5.138306340290999e-07,0
5.155510567152e-07,0.0006790632700882633,5.155510567152e-07,-9.990824591546116e-07,5.155510567152e-07,1.004843615650431,5.155510567152e-07,0,5.155510567152e-07,0
5.16602652137e-07,0.0006781063014748819,5.16602652137e-07,-9.913329208780631e-07,5.16602652137e-07,1.004843615477032,5.16602652137e-07,0,5.16602652137e-07,0
5.178904621214e-07,0.0006769425675280291,5.178904621214e-07,-9.814724672131993e-07,5.178904621214e-07,1.004843615266416,5.178904621214e-07,0,5.178904621214e-07,0
5.189452310607e-07,0.0006759960568690789,5.189452310607e-07,-9.732678665947702e-07,5.189452310607e-07,1.004843615095517,5.189452310607e-07,0,5.189452310607e-07,0
5.2e-07,0.0006750554893901594,5.2e-07,-9.649812904862246e-07,5.2e-07,1.004843614925809,5.2e-07,0,5.2e-07,0
5.221095378785e-07,0.000673201404171767,5.221095378785e-07,-9.488932088096709e-07,5.221095378785e-07,1.004843614591131,5.221095378785e-07,0,5.221095378785e-07,0
5.234561155248e-07,0.0006720239838784592,5.234561155248e-07,-9.381123228700868e-07,5.234561155248e-07,1.004843614379212,5.234561155248e-07,0,5.234561155248e-07,0
5.261492708173e-07,0.0006696971851960797,5.261492708173e-07,-9.16710781903758e-07,5.261492708173e-07,1.004843613960604,5.261492708173e-07,0,5.261492708173e-07,0
5.315355814023e-07,0.0006651535462039193,5.315355814023e-07,-8.748313285093397e-07,5.315355814023e-07,1.004843613150802,5.315355814023e-07,0,5.315355814023e-07,0
5.423082025724e-07,0.000656484316239815,5.423082025724e-07,-7.939688478084972e-07,5.423082025724e-07,1.004843611629628,5.423082025724e-07,0,5.423082025724e-07,0
5.5e-07,0.0006506219953711798,5.5e-07,-7.391306368738968e-07,5.5e-07,1.00484361063032,5.5e-07,0,5.5e-07,0
5.6e-07,0.0006435441346062371,5.6e-07,-6.74651170670172e-07,5.6e-07,1.004843609485597,5.6e-07,0,5.6e-07,0
5.8e-07,0.0006307939378099702,5.8e-07,-5.514843460875813e-07,5.8e-07,1.004843607648435,5.8e-07,0,5.8e-07,0
6.1e-07,0.0006133166963000132,6.1e-07,-3.561389917985372e-07,6.1e-07,1.004843605446561,6.1e-07,0,6.1e-07,0
6.2e-07,0.0006082353035547314,6.2e-07,-3.053177098710349e-07,6.2e-07,1.004843604966367,6.2e-07,0,6.2e-07,0
6.35e-07,0.0006011788371494534,6.35e-07,-2.247819619474207e-07,6.35e-07,1.004843604448018,6.35e-07,0,6.35e-07,0
6.5e-07,0.0005944324794418637,6.5e-07,-1.383603612485871e-07,6.5e-07,1.0048436040402,6.5e-07,0,6.5e-07,0
6.6e-07,0.0005903233547497046,6.6e-07,-8.655829189986919e-08,6.6e-07,1.004843603910852,6.6e-07,0,6.6e-07,0
6.799999999999999e-07,0.0005828778143525331,6.799999999999999e-07,1.974303515807409e-08,6.799999999999999e-07,1.004843603935065,6.799999999999999e-07,0,6.799999999999999e-07,0
7.1e-07,0.0005725865098289377,7.1e-07,2.037486223306081e-07,7.1e-07,1.004843604293709,7.1e-07,0,7.1e-07,0
7.2e-07,0.0005695734458946671,7.2e-07,2.802395954843318e-07,7.2e-07,1.004843604568745,7.2e-07,0,7.2e-07,0
7.349999999999e-07,0.0005653745356778891,7.349999999999e-07,4.454287427370367e-07,7.349999999999e-07,1.004843605100279,7.349999999999e-07,0,7.349999999999e-07,0
7.5e-07,0.0005613445315306941,7.5e-07,6.200276262756451e-07,7.5e-07,1.004843605694429,7.5e-07,0,7.5e-07,0
7.6e-07,0.0005588816048342207,7.6e-07,7.275896683487852e-07,7.6e-07,1.004843606173798,7.6e-07,0,7.6e-07,0
7.799999999999999e-07,0.0005544032678721885,7.799999999999999e-07,8.559167486625355e-07,7.799999999999999e-07,1.004843607300539,7.799999999999999e-07,0,7.799999999999999e-07,0
8.1e-07,0.0005481812620020224,8.1e-07,9.695929971727648e-07,8.1e-07,1.004843609173999,8.1e-07,0,8.1e-07,0
8.2e-07,0.0005463519581100216,8.2e-07,9.853363870997408e-07,8.2e-07,1.004843609892164,8.2e-07,0,8.2e-07,0
