/I27/G<2> X,/I27/G<2> Y,/I27/G<1> X,/I27/G<1> Y,/I27/G<0> X,/I27/G<0> Y
2.58865524816e-08,0,2.58865524816e-08,1.2,2.58865524816e-08,0
3.0595794467e-08,0,3.0595794467e-08,1.2,3.0595794467e-08,0
3.21415025047e-08,0,3.21415025047e-08,1.2,3.21415025047e-08,0
3.52329185802e-08,0,3.52329185802e-08,1.2,3.52329185802e-08,0
4.14157507313e-08,0,4.14157507313e-08,1.2,4.14157507313e-08,0
5e-08,0,5e-08,1.2,5e-08,0
5.999999999999999e-08,0,5.999999999999999e-08,1.2,5.999999999999999e-08,0
7.99999999999e-08,0,7.99999999999e-08,1.2,7.99999999999e-08,0
1.1e-07,0,1.1e-07,1.2,1.1e-07,0
1.2e-07,0,1.2e-07,1.2,1.2e-07,0
1.349999999999e-07,0,1.349999999999e-07,1.2,1.349999999999e-07,0
1.5e-07,0,1.5e-07,1.2,1.5e-07,0
1.6e-07,0,1.6e-07,1.2,1.6e-07,0
1.8e-07,0,1.8e-07,1.2,1.8e-07,0
2.1e-07,0,2.1e-07,1.2,2.1e-07,0
2.2e-07,0,2.2e-07,1.2,2.2e-07,0
2.35e-07,0,2.35e-07,1.2,2.35e-07,0
2.5e-07,0,2.5e-07,1.2,2.5e-07,0
2.6e-07,0,2.6e-07,1.2,2.6e-07,0
2.8e-07,0,2.8e-07,1.2,2.8e-07,0
3.1e-07,0,3.1e-07,1.2,3.1e-07,0
3.2e-07,0,3.2e-07,1.2,3.2e-07,0
3.349999999999e-07,0,3.349999999999e-07,1.2,3.349999999999e-07,0
3.5e-07,0,3.5e-07,1.2,3.5e-07,0
3.6e-07,0,3.6e-07,1.2,3.6e-07,0
3.8e-07,0,3.8e-07,1.2,3.8e-07,0
4.1e-07,0,4.1e-07,1.2,4.1e-07,0
4.2e-07,0,4.2e-07,1.2,4.2e-07,0
4.349999999999e-07,0,4.349999999999e-07,1.2,4.349999999999e-07,0
4.5e-07,0,4.5e-07,1.2,4.5e-07,0
4.6e-07,0,4.6e-07,1.2,4.6e-07,0
4.8e-07,0,4.8e-07,1.2,4.8e-07,0
5.1e-07,0,5.1e-07,1.2,5.1e-07,0
5.1125e-07,0,5.1125e-07,1.2,5.1125e-07,0
5.12110211343e-07,0,5.12110211343e-07,1.2,5.12110211343e-07,0
5.138306340290999e-07,0,5.138306340290999e-07,1.2,5.138306340290999e-07,0
5.155510567152e-07,0,5.155510567152e-07,1.2,5.155510567152e-07,0
5.16602652137e-07,0,5.16602652137e-07,1.2,5.16602652137e-07,0
5.178904621214e-07,0,5.178904621214e-07,1.2,5.178904621214e-07,0
5.189452310607e-07,0,5.189452310607e-07,1.2,5.189452310607e-07,0
5.2e-07,0,5.2e-07,1.2,5.2e-07,0
5.221095378785e-07,0,5.221095378785e-07,1.2,5.221095378785e-07,0
5.234561155248e-07,0,5.234561155248e-07,1.2,5.234561155248e-07,0
5.261492708173e-07,0,5.261492708173e-07,1.2,5.261492708173e-07,0
5.315355814023e-07,0,5.315355814023e-07,1.2,5.315355814023e-07,0
5.423082025724e-07,0,5.423082025724e-07,1.2,5.423082025724e-07,0
5.5e-07,0,5.5e-07,1.2,5.5e-07,0
5.6e-07,0,5.6e-07,1.2,5.6e-07,0
5.8e-07,0,5.8e-07,1.2,5.8e-07,0
6.1e-07,0,6.1e-07,1.2,6.1e-07,0
6.2e-07,0,6.2e-07,1.2,6.2e-07,0
6.35e-07,0,6.35e-07,1.2,6.35e-07,0
6.5e-07,0,6.5e-07,1.2,6.5e-07,0
6.6e-07,0,6.6e-07,1.2,6.6e-07,0
6.799999999999999e-07,0,6.799999999999999e-07,1.2,6.799999999999999e-07,0
